iso_alpha_3,year,frac_trns_mtkm_dem_freight_water_borne,frac_trns_mtkm_dem_freight_road_heavy_freight,frac_trns_mtkm_dem_freight_rail_freight,frac_trns_mtkm_dem_freight_aviation
BLZ,2016,0.10790996501146716,0.7265937643220444,0.1654619464002727,3.43242662158511e-05
BLZ,2017,0.10790850803454835,0.7265839541120591,0.16545971235794146,4.7825495450888456e-05
BLZ,2018,0.10791106362510068,0.7266011617763971,0.16546363095141284,2.4143647089286135e-05
BLZ,2019,0.10791106312648552,0.7266011583739332,0.1654636300855553,2.4148414025967126e-05
BLZ,2020,0.10791106258385823,0.7266011548488397,0.16546362931568886,2.4153251613343832e-05
BOL,2011,0.10788919536547115,0.726453915472127,0.16543009960293598,0.00022678955946590004
BOL,2012,0.10789645076673561,0.7265027684449976,0.16544122454618018,0.0001595562420866742
BOL,2013,0.10790252706105517,0.7265436821241293,0.16545054147381164,0.00010324934100390578
BOL,2014,0.1079014826078297,0.7265366495979692,0.1654489399858113,0.00011292780838967594
BOL,2015,0.10789994064729032,0.7265262670267955,0.16544657565576376,0.00012721667015047023
BOL,2016,0.10790124311359607,0.7265350370517957,0.16544857272816654,0.00011514710644180502
BOL,2017,0.10790060962396089,0.7265307714475905,0.16544760146423262,0.00012101746421602797
BOL,2018,0.10789480319389251,0.7264916749093397,0.16543869828072372,0.00017482361604416463
BOL,2019,0.10788214838678492,0.72640646572131,0.16541929423204896,0.00029209165985609865
BOL,2020,0.10788908113471425,0.7264531462233251,0.16542992438372073,0.00022784825823990963
BRA,2011,0.15815373426559493,0.598987858511133,0.24250239254424585,0.00035601467902623843
BRA,2012,0.1563749943235866,0.6034939862078554,0.2397749912839803,0.0003560281845776261
BRA,2013,0.15475256791649572,0.6075532007356793,0.23728727082683385,0.00040696052099120785
BRA,2014,0.1532866300497904,0.6112952213857132,0.23503949941442126,0.00037864915007518383
BRA,2015,0.15194661661864597,0.6147298580204144,0.23298481214405603,0.0003387132168836898
BRA,2016,0.15272186224766604,0.6127589153212969,0.2341735220628485,0.00034570036818857777
BRA,2017,0.1534957962149924,0.6107445670432723,0.23536022079705343,0.000399415944682031
BRA,2018,0.15427451516333165,0.6087436449274911,0.23655425649574016,0.000427583413437102
BRA,2019,0.15506564389231978,0.6068120412523205,0.23776732064266945,0.0003549942126901721
BRA,2020,0.1558485204781868,0.6048993685423413,0.2389677314453355,0.0002843795341363072
BRB,2011,0.10719377666221751,0.7217714295645431,0.16436379086632297,0.00667100290691637
BRB,2012,0.10719367231739554,0.7217707269205712,0.16436363091979048,0.006671969842242751
BRB,2013,0.10719356881509709,0.7217700299190756,0.16436347214013217,0.006672929125695329
BRB,2014,0.1071934665334479,0.7217693413929935,0.16436331533971502,0.006673876733843515
BRB,2015,0.10719336578841746,0.7217686629101003,0.16436316082024,0.00667481048124228
BRB,2016,0.10719337823027776,0.7217687468067021,0.164363179964656,0.006674694998364032
BRB,2017,0.10719339195410887,0.7217688391865782,0.1643632010004305,0.006674567858882349
BRB,2018,0.107193407116775,0.7217689411348142,0.164363224296116,0.006674427452294769
BRB,2019,0.10719342368831254,0.7217690528718179,0.16436324964301913,0.006674273796850414
BRB,2020,0.1071934416393414,0.7217691736247457,0.16436327715470755,0.00667410758120545
BRN,2011,0.1350618257054409,0.6530903703808815,0.2070947994277197,0.004753004485958077
BRN,2012,0.13496537829489091,0.6540072394890947,0.20694691339610627,0.004080468819908252
BRN,2013,0.13477522917725543,0.654506186226085,0.20665535143696978,0.00406323315968988
BRN,2014,0.1346357153659786,0.6552441753972376,0.20644143020232933,0.003678679034454549
BRN,2015,0.1344517249685562,0.6557153597085588,0.2061593116312143,0.0036736036916708787
BRN,2016,0.13437701857597553,0.6556145199781321,0.20604476181649584,0.003963699629396563
BRN,2017,0.1343117692835359,0.6555140168534388,0.20594471292055794,0.004229500942467559
BRN,2018,0.13430343412431478,0.6556383240898028,0.20593193230268278,0.004126309483199593
BRN,2019,0.1343153108136725,0.6558270633191741,0.20595014324124936,0.0039074826259042445
BRN,2020,0.13465611984534503,0.6575841194023264,0.20647271708979684,0.001287043662531812
BTN,2011,0.10791300509683298,0.7266142342830587,0.16546660775917477,6.152860933584356e-06
BTN,2012,0.10791302321255189,0.7266143562165254,0.16546663562815883,5.984942764135109e-06
BTN,2013,0.107912798839377,0.7266128454490802,0.16546629156555878,8.064145984111976e-06
BTN,2014,0.1079124061950832,0.7266102017778076,0.16546568949743684,1.1702529672502276e-05
BTN,2015,0.1079129335615443,0.726613752729647,0.16546649815388043,6.815554928289562e-06
BTN,2016,0.10791276883017988,0.7266126434599196,0.1654662455328588,8.342177041612975e-06
BTN,2017,0.10791294483111492,0.7266138285986415,0.1654665153959061,6.711174337196663e-06
BTN,2018,0.10791272691587597,0.726612361203238,0.16546618133166358,8.7305492223573e-06
BTN,2019,0.10791323463270912,0.7266157798880185,0.16546695977772952,4.025701543005736e-06
BTN,2020,0.10791297466980586,0.7266140293752353,0.1654665611073836,6.4348475752223005e-06
BWA,2011,0.1802260042055002,0.5434251326936458,0.2763465398176082,2.3232832458036017e-06
BWA,2012,0.18026031980002963,0.5433380466787645,0.2763991570368815,2.476484324367911e-06
BWA,2013,0.1802944930118539,0.5432512718392426,0.27645155596413284,2.67918477063529e-06
BWA,2014,0.1803280310445479,0.5431669620479954,0.2765029808409442,2.026066512510909e-06
BWA,2015,0.1803600745653422,0.543083981985521,0.276552114358432,3.829090704792004e-06
BWA,2016,0.1803687905576142,0.5430619084097498,0.2765654788587378,3.822173898245058e-06
BWA,2017,0.1803770560292004,0.5430420801507194,0.2765781526550515,2.7111650288589466e-06
BWA,2018,0.18038480255159073,0.5430230553109986,0.27659003066088395,2.1114765267510813e-06
BWA,2019,0.18384445374771688,0.5342477382461763,0.2818948290875181,1.2978918588682311e-05
BWA,2020,0.18217895092788586,0.5384761239907784,0.2793410581020018,3.866979333803974e-06
CAF,2011,0.1072420700959476,0.7220966054364995,0.16443784076658752,0.006223483700965518
CAF,2012,0.10724249662173654,0.722099477215623,0.16443849476121974,0.006219531401420726
CAF,2013,0.10724287987612115,0.7221020579216001,0.16443908243219355,0.006215979770085231
CAF,2014,0.10724334871854393,0.7221052145801836,0.16443980135062275,0.006211635350649695
CAF,2015,0.10724400409464965,0.7221096275893482,0.1644408063078598,0.006205562008142456
CAF,2016,0.10724488008622614,0.7221155258729235,0.16444214941385224,0.006197444626998109
CAF,2017,0.10724596523753317,0.7221228326903716,0.16444381331605087,0.006187388756044442
CAF,2018,0.10724724501351243,0.7221314497764008,0.16444577571685057,0.00617552949323615
CAF,2019,0.10724868119301019,0.7221411199846625,0.16444797779173678,0.006162221030590379
CAF,2020,0.10725024535239151,0.7221516521271604,0.16445037616582367,0.006147726354624412
CAN,2011,0.02343427511034084,0.7182577629959246,0.25684585807402527,0.0014621038197093071
CAN,2012,0.13319841011678457,0.6396432084445076,0.22595589120187268,0.0012024902368351369
CAN,2013,0.1330757624652508,0.639410205102293,0.22637338895369766,0.0011406434787585708
CAN,2014,0.13292986423982936,0.6357303763405132,0.23018108630247328,0.00115867311718413
CAN,2015,0.13287337013303233,0.6416811719678157,0.22431848495876283,0.0011269729403891292
CAN,2016,0.13397818531979608,0.5494948811688263,0.3147452334574593,0.0017817000539183385
CAN,2017,0.133820547795111,0.539930379013544,0.3240578111109242,0.002191262080420932
CAN,2018,0.1338728034012452,0.5189316574727559,0.3452721340528545,0.0019234050731443777
CAN,2019,0.13405219895039586,0.4928091904618919,0.37055595314680506,0.002582657440907172
CAN,2020,0.13413629938494337,0.495383597478777,0.3685658847000302,0.0019142184362492425
CHE,2011,0.15089856352937817,0.664952420974326,0.1647829343992745,0.019366081097021363
CHE,2012,0.1513028461419714,0.6665987013799878,0.16201052277354297,0.020087929704497933
CHE,2013,0.1504899018027657,0.6612765011273825,0.16772423630445527,0.020509360765396566
CHE,2014,0.14982528380703705,0.659082082855096,0.17023165142675212,0.02086098191111507
CHE,2015,0.15019246374624637,0.6562779475287664,0.1738229113709167,0.019706677354070563
CHE,2016,0.1502198152261292,0.6528859427146484,0.1753064725721469,0.021587769487075543
CHE,2017,0.1504549131259471,0.6608113500629298,0.1661822335717242,0.022551503239399067
CHE,2018,0.14963416873528887,0.6598751515551364,0.16473279857246095,0.025757881137113824
CHE,2019,0.15047024516764823,0.6592667904152651,0.16680333251468016,0.023459631902406457
CHE,2020,0.1528206802676943,0.6704768071850952,0.16419126573491666,0.01251124681229403
CHL,2011,0.13633035357574824,0.8382598438065483,0.018887450179734117,0.006522352437969313
CHL,2012,0.1358031909482363,0.8404905340261856,0.01726114020783582,0.00644513481774224
CHL,2013,0.13541937695573916,0.8430838484300082,0.015579178936659215,0.005917595677593482
CHL,2014,0.13505736836399965,0.8443264129362988,0.014955173769142118,0.005661044930559244
CHL,2015,0.13483947021554035,0.8464494538315175,0.01395561395499031,0.004755461997951853
CHL,2016,0.1347365856386168,0.8467641944198254,0.013667451401839083,0.004831768539718671
CHL,2017,0.03675333187559069,0.9448858695569305,0.013813156397471228,0.0045476421700076
