iso_alpha_3,year,frac_trns_mtkm_dem_freight_rail_freight
CRI,2016,0.23652229931912905
CRI,2017,0.23428136593855983
CRI,2018,0.23210267547755606
CRI,2019,0.22998092915933888
CRI,2020,0.22791369168669703
CRI,2021,0.22845652840563385
CUB,2011,0.19860949297531008
CUB,2012,0.19569111871391434
CUB,2013,0.19305063905740588
CUB,2014,0.19064376755289858
CUB,2015,0.1884301235511732
CUB,2016,0.18821121707558147
CUB,2017,0.18797924074802777
CUB,2018,0.1877378437886338
CUB,2019,0.18749272330780303
CUB,2020,0.1872491401877914
CUB,2021,0.18481965677498446
CYP,2011,0.27405625191504734
CYP,2012,0.2740783793780401
CYP,2013,0.274100612137744
CYP,2014,0.27412276614180103
CYP,2015,0.27414470880168135
CYP,2016,0.2741780785833704
CYP,2017,0.27421110575010105
CYP,2018,0.281533195245865
CYP,2019,0.27643325159481313
CYP,2020,0.27168862412287176
CYP,2021,0.2682556040369342
DEU,2011,0.10322208959166536
DEU,2012,0.10418249029245227
DEU,2013,0.1059025220610443
DEU,2014,0.10510619578053232
DEU,2015,0.10725941332492543
DEU,2016,0.1152847976349406
DEU,2017,0.11736758095085482
DEU,2018,0.11685978015556868
DEU,2019,0.11695943331858287
DEU,2020,0.10489359943196332
DEU,2021,0.1145512310156678
DJI,2011,0.1654676258596337
DJI,2012,0.16546762589009667
DJI,2013,0.16546762585749
DJI,2014,0.16546762586845684
DJI,2015,0.16546762588373007
DJI,2016,0.1654676258869205
DJI,2017,0.16546762585295033
DJI,2018,0.16546762588300185
DJI,2019,0.16546762594098838
DJI,2020,0.16546762594237235
DJI,2021,0.1654676258861829
DNK,2011,0.06648838011869636
DNK,2012,0.058498168042171866
DNK,2013,0.06312281498155169
DNK,2014,0.061191307685887354
DNK,2015,0.06705222147382961
DNK,2016,0.06451606791475031
DNK,2017,0.06323216579292389
DNK,2018,0.05808988046633107
DNK,2019,0.229936754682676
DNK,2020,0.22706083966527332
DNK,2021,0.22396214608975937
DOM,2011,0.2119200587700199
DOM,2012,0.20590910721781586
DOM,2013,0.20083726753881104
DOM,2014,0.1965012094562894
DOM,2015,0.19275120219631986
DOM,2016,0.18930236700240757
DOM,2017,0.18628167758507766
DOM,2018,0.18360568508160022
DOM,2019,0.1812160533976962
DOM,2020,0.17906752644665877
DOM,2021,0.17733804320065383
DZA,2011,0.2741427136834196
DZA,2012,0.27028503607565113
DZA,2013,0.26713142223247166
DZA,2014,0.2645208296352239
DZA,2015,0.2623234420159387
DZA,2016,0.26494421028219795
DZA,2017,0.26758321981884103
DZA,2018,0.27019476951757065
DZA,2019,0.2727136118945542
DZA,2020,0.27509370028721436
DZA,2021,0.2638386064163533
ECU,2011,0.20674050335145233
ECU,2012,0.20473337333990768
ECU,2013,0.20286665966345824
ECU,2014,0.2011631670714989
ECU,2015,0.19962984881690782
ECU,2016,0.20157480153595123
ECU,2017,0.20374309416045164
ECU,2018,0.20613375070888953
ECU,2019,0.20869008622944968
ECU,2020,0.21136307811784394
ECU,2021,0.20308958343456607
ESP,2011,0.01980887011179529
ESP,2012,0.020070492528604194
ESP,2013,0.02065798528399767
ESP,2014,0.022255247360929004
ESP,2015,0.02184026227706752
ESP,2016,0.020758573345398944
ESP,2017,0.01936292351212141
ESP,2018,0.019278038184520407
ESP,2019,0.017995278798640074
ESP,2020,0.01626320515107868
ESP,2021,0.004891120263280724
EST,2011,0.25733513890598714
EST,2012,0.23479056992446784
EST,2013,0.22045847145058126
EST,2014,0.1704979839765408
EST,2015,0.16610657705232837
EST,2016,0.1291337713244631
EST,2017,0.13653179869634152
EST,2018,0.15481945687854373
EST,2019,0.1550248183583915
EST,2020,0.1438316279843607
EST,2021,0.14445726698798453
ETH,2011,0.20570846183839855
ETH,2012,0.20795175520598097
ETH,2013,0.20996930568021083
ETH,2014,0.2118159585535776
ETH,2015,0.23380785825585912
ETH,2016,0.22692354740302112
ETH,2017,0.22156937398967613
ETH,2018,0.21730211671906208
ETH,2019,0.21383797733791443
ETH,2020,0.2109845399257717
ETH,2021,0.20861587237769547
FIN,2011,0.12252217005738132
FIN,2012,0.12805467347784066
FIN,2013,0.13563643134390352
FIN,2014,0.14082770766069858
FIN,2015,0.12413146090474655
FIN,2016,0.12625352187904765
FIN,2017,0.1310517529215359
FIN,2018,0.13612112648606509
FIN,2019,0.126226002310661
FIN,2020,0.1231355973376087
FIN,2021,0.12936886192952052
FJI,2011,0.165467625844228
FJI,2012,0.16546762587771152
FJI,2013,0.16546762590167602
FJI,2014,0.1654676259188041
FJI,2015,0.16546762586936328
FJI,2016,0.16546762594346973
FJI,2017,0.16546762591668193
FJI,2018,0.16546762585858016
FJI,2019,0.16546762585406194
FJI,2020,0.16546762588712235
FJI,2021,0.1654676259295874
FRA,2011,0.06618621319542545
FRA,2012,0.06742578141084148
FRA,2013,0.06761505916330024
FRA,2014,0.07069004999304628
FRA,2015,0.08052028030170903
FRA,2016,0.07703559656316185
FRA,2017,0.07464097157671222
FRA,2018,0.070987209036634
FRA,2019,0.06965108112953491
FRA,2020,0.06750758504176761
FRA,2021,0.07336995054720036
GAB,2011,0.16546762590814257
GAB,2012,0.16546762590715475
GAB,2013,0.16546762594159783
GAB,2014,0.16546762595568001
GAB,2015,0.16546762589218422
GAB,2016,0.16546762590799965
GAB,2017,0.16546762590090425
GAB,2018,0.16546762594318964
GAB,2019,0.1654676258751145
GAB,2020,0.16546762586189345
GAB,2021,0.16546762588753647
GBR,2011,0.05324713195696952
GBR,2012,0.0546484828530418
GBR,2013,0.008625461740524974
GBR,2014,0.008338279491029714
GBR,2015,0.007067154090964031
GBR,2016,0.006189455344726202
GBR,2017,0.006209714440157533
GBR,2018,0.006177200233815215
GBR,2019,0.00601888766647678
GBR,2020,0.005431936666191043
GBR,2021,0.17475949306398317
GEO,2011,0.5237168936106539
GEO,2012,0.522355248769939
GEO,2013,0.5175339684347361
GEO,2014,0.5109404561792757
GEO,2015,0.5000754009305121
GEO,2016,0.48301682814717717
GEO,2017,0.469758205787449
GEO,2018,0.4563783004080038
GEO,2019,0.4664292064044985
GEO,2020,0.46488117928799894
GEO,2021,0.4749675130753514
GHA,2011,0.16546762595023068
GHA,2012,0.16546762588088929
GHA,2013,0.16546762591545497
GHA,2014,0.16546762592386358
GHA,2015,0.16546762590940015
GHA,2016,0.16546762587907313
GHA,2017,0.1654676258915739
GHA,2018,0.16546762592160139
GHA,2019,0.16546762590244013
GHA,2020,0.1654676258763688
GHA,2021,0.16546762590622358
GIN,2011,0.16546762589671082
GIN,2012,0.1654676259052194
GIN,2013,0.16546762587380145
GIN,2014,0.1654676258933208
GIN,2015,0.16546762586353866
GIN,2016,0.1654676258944021
GIN,2017,0.1654676259026672
GIN,2018,0.16546762591174177
GIN,2019,0.16546762589099703
GIN,2020,0.16546762586190422
GIN,2021,0.1654676259414879
